train_loss,train_acc,val_loss,val_acc,lr
0.6894178457197768,0.6022420594472966,0.6454093873253501,0.6074688797917109,0.001
0.6606030733426478,0.6198878971303378,0.6459205550276886,0.6854771789178808,0.001
0.6554656582351837,0.6298526053622177,0.6236381902239629,0.7037344402297404,0.001
0.6465901884271417,0.6493668258994453,0.6315732809023243,0.6265560167211714,0.001
0.6450896399234474,0.6477060411106087,0.6222362901165278,0.6041493778159509,0.001
0.6236394003933833,0.6717874195928615,0.6300562837311836,0.5775933611689762,0.001
0.6117706562266548,0.6798837451314144,0.5732255912420661,0.7634854775741388,0.001
0.5864798828467606,0.7104006643386359,0.5826797876120603,0.7676348550685709,0.001
0.5810281869556886,0.7209881669831073,0.531322183153936,0.7751037347860851,0.001
0.558880300486709,0.7272161096860345,0.6333002580152013,0.7493775938061757,0.001
0.5484854051723801,0.7324060619384737,0.5009422737038481,0.7983402492594422,0.001
0.5227992054657346,0.7560722441601015,0.5180173208110065,0.79751037374077,0.001
0.5255475620622577,0.7589786174090938,0.5123161993580735,0.7892116185045835,0.001
0.4963641477022177,0.7724724933025573,0.6598733783262893,0.635684647797549,0.001
0.4751787511842588,0.7826447997420859,0.4148724881939868,0.8265560167953682,0.001
0.47442703258701696,0.7915715175915339,0.4385429994199286,0.8290456434503136,0.001
0.45455802524512995,0.7992526469127702,0.4218942055563709,0.786721991948567,0.001
0.4450921307021908,0.8011210297236483,0.46405631061411495,0.8157676352010228,0.001
0.4121988246196876,0.8183516712264943,0.4373332454455839,0.7767634858234295,0.0005
0.35187036768514535,0.8577953083202853,0.4465361812797325,0.8381742740567789,0.0005
0.36974241267305846,0.8449242267342358,0.3162239736541178,0.8522821578742062,0.0005
0.33495737058210107,0.855096533136643,0.32348085171948826,0.8746887968288912,0.0005
0.32166303068133395,0.8646460452811313,0.29382478325198796,0.8871369296584386,0.0005
0.3086187798736351,0.8685904090053589,0.2812786720353043,0.8904564317331275,0.0005
0.30582559803523585,0.8729499688850341,0.29260133119044957,0.8871369296584386,0.0005
0.2968268901672704,0.8783475192523186,0.2781089815361371,0.8854771785716298,0.0005
0.26169570469994846,0.892464189341832,0.43647930063152707,0.8680497926300492,0.0005
0.26400240216050774,0.8928793855220272,0.3617311182605775,0.8962655602154396,0.0005
0.2509705738170478,0.8984845339670353,0.32073683963771676,0.8448132782556209,0.0005
0.27834167878534233,0.888312227577002,0.2505318316186612,0.8937759337088874,0.0005
